"Iteration","best","mean"
1,0.0581,0.0276
2,0.0581,0.0352
3,0.0581,0.0439
4,0.0581,0.0483
5,0.0581,0.0488
6,0.0582,0.0513
7,0.061,0.0513
8,0.0617,0.0504
9,0.0617,0.0516
10,0.0617,0.0549
11,0.0617,0.0549
12,0.0617,0.0564
13,0.0617,0.0573
14,0.0617,0.056
15,0.0617,0.0567
16,0.0617,0.0506
17,0.0617,0.0545
18,0.0617,0.0539
19,0.0617,0.0594
20,0.0617,0.058
21,0.0617,0.0563
22,0.0617,0.0543
23,0.0617,0.053
24,0.0617,0.0569
25,0.0617,0.0568
26,0.0617,0.0577
27,0.0617,0.0529
28,0.0617,0.0529
29,0.0617,0.0562
30,0.0617,0.0562
31,0.0617,0.0542
32,0.0617,0.056
33,0.0617,0.0572
34,0.0617,0.0543
35,0.0617,0.0543
36,0.0617,0.0514
37,0.0617,0.053
38,0.0617,0.0506
39,0.0617,0.0549
40,0.0617,0.0535
41,0.0617,0.0514
42,0.0617,0.0542
43,0.0617,0.0569
44,0.0621,0.0583
45,0.0621,0.0515
46,0.0621,0.0513
47,0.0621,0.056
48,0.0621,0.0534
49,0.0621,0.0567
50,0.0621,0.0565
51,0.0621,0.0566
52,0.0621,0.057
53,0.0621,0.0507
54,0.0621,0.0578
55,0.0621,0.0525
56,0.0621,0.0491
57,0.0621,0.0577
58,0.0621,0.0577
59,0.0621,0.0495
60,0.0621,0.0545
61,0.0621,0.051
62,0.0621,0.0564
63,0.0621,0.0571
64,0.0621,0.0559
65,0.0621,0.057
66,0.0621,0.0544
67,0.0621,0.0536
68,0.0621,0.0542
69,0.0621,0.0553
70,0.0621,0.0535
71,0.0621,0.0536
72,0.0621,0.0561
73,0.0621,0.0542
74,0.0621,0.0574
75,0.0621,0.0587
76,0.0621,0.0595
77,0.0621,0.0608
78,0.0621,0.0605
79,0.0621,0.0607
80,0.0621,0.0618
